Interface_Id,Interface_Name,Source_System,Target_System
1,Interface_1,83,96
2,Interface_2,96,83
3,Interface_3,96,404
4,Interface_4,96,432
5,Interface_5,96,360
6,Interface_6,448,96
7,Interface_7,449,96
8,Interface_8,450,96
10,Interface_10,138,451
11,Interface_11,140,43
12,Interface_12,140,44
13,Interface_13,96,140
14,Interface_14,140,360
15,Interface_15,140,334
16,Interface_16,140,40
17,Interface_17,435,140
18,Interface_18,436,140
19,Interface_19,140,448
20,Interface_20,432,448
21,Interface_21,144,96
22,Interface_22,96,144
23,Interface_23,188,451
24,Interface_24,334,201
25,Interface_25,360,201
26,Interface_26,446,201
27,Interface_27,196,201
28,Interface_28,201,196
29,Interface_29,201,334
30,Interface_30,203,70
31,Interface_31,203,197
32,Interface_32,334,203
33,Interface_33,360,203
34,Interface_34,196,203
35,Interface_35,204,65
36,Interface_36,204,334
37,Interface_37,204,70
38,Interface_38,204,43
39,Interface_39,360,204
41,Interface_41,334,204
42,Interface_42,196,204
43,Interface_43,43,204
44,Interface_44,432,204
45,Interface_45,334,205
46,Interface_46,360,205
47,Interface_47,196,205
48,Interface_48,209,451
49,Interface_49,273,451
50,Interface_50,285,451
51,Interface_51,404,403
52,Interface_52,404,96
53,Interface_53,404,40
54,Interface_54,432,404
55,Interface_55,140,404
56,Interface_56,451,404
57,Interface_57,177,432
58,Interface_58,432,43
59,Interface_59,432,44
60,Interface_60,432,248
61,Interface_61,432,177
62,Interface_62,432,196
63,Interface_63,432,40
64,Interface_64,43,334
65,Interface_65,43,225
66,Interface_66,436,44
67,Interface_67,435,44
68,Interface_68,438,44
69,Interface_69,44,446
70,Interface_70,44,41
71,Interface_71,44,334
72,Interface_72,142,451
